Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac,#frogs
Barking treefrog,HGI1,Imidacloprid,LCMS,1,Soil,5.69378E-06,0.329814712,2.565991685,0.57,0.12853304,1.95576,2.2729,510,0.51,255.661,1.543,62267.62381,1.819376644,0.0002,292.5,84,Arboreal,1
Barking treefrog,HGI2,Imidacloprid,LCMS,1,Soil,5.69378E-06,0.210770534,2.565991685,0.57,0.082139991,2.26328,2.4617,510,0.51,255.661,1.543,43970.33392,1.90540694,0.0002,292.5,84,Arboreal,1
Barking treefrog,HGI3,Imidacloprid,LCMS,1,Soil,5.69378E-06,0.50673308,2.565991685,0.57,0.197480406,1.27439,1.4355,510,0.51,255.661,1.543,81341.74405,1.39433605,0.0002,292.5,84,Arboreal,1
Barking treefrog,HGI4,Imidacloprid,LCMS,1,Soil,5.69378E-06,0.292676446,2.565991685,0.57,0.114059779,1.89439,2.141,510,0.51,255.661,1.543,55407.28045,1.757477021,0.0002,292.5,84,Arboreal,1
Barking treefrog,HGI5,Imidacloprid,LCMS,1,Soil,5.69378E-06,0.622028925,2.565991685,0.57,0.242412681,1.4839,1.7035,510,0.51,255.661,1.543,105294.2939,1.539606382,0.0002,292.5,84,Arboreal,1
Barking treefrog,HGP1,Pendimethalin,LCMS,1,Soil,1.98325E-05,0.409017886,13.61565316,5.18,0.030040269,2.44812,2.8592,0.3,0.0003,281.31,1.17,24297.89,2.077916974,4,243000,40,Arboreal,1
Barking treefrog,HGP2,Pendimethalin,LCMS,1,Soil,1.98325E-05,0.257508419,13.61565316,5.18,0.018912675,2.46997,2.7549,0.3,0.0003,281.31,1.17,15769.61086,2.033685938,4,243000,40,Arboreal,1
Barking treefrog,HGP3,Pendimethalin,LCMS,1,Soil,1.98325E-05,0.094968352,13.61565316,5.18,0.006974939,2.01387,2.3541,0.3,0.0003,281.31,1.17,5193.771741,1.856732017,4,243000,40,Arboreal,1
Barking treefrog,HGP4,Pendimethalin,LCMS,1,Soil,1.98325E-05,0.08250324,13.61565316,5.18,0.00605944,2.29373,2.6507,0.3,0.0003,281.31,1.17,4797.850043,1.988787491,4,243000,40,Arboreal,1
Barking treefrog,HGP5,Pendimethalin,LCMS,1,Soil,1.98325E-05,0.099338888,13.61565316,5.18,0.007295933,2.2234,2.5916,0.3,0.0003,281.31,1.17,5673.357935,1.962991686,4,243000,40,Arboreal,1
Barking treefrog,HGA1,Total Atrazine,LCMS,1,Soil,2.30064E-05,7.876952404,14.43612837,2.5,0.545641615,2.069224088,2.4975,30,0.03,215.68,1.187,368722.108,1.921402218,0.04,122,80,Arboreal,1
Barking treefrog,HGA2,Total Atrazine,LCMS,1,Soil,2.30064E-05,6.342816533,14.43612837,2.5,0.439371026,1.2818,1.5391,30,0.03,215.68,1.187,243424.357,1.451744215,0.04,122,80,Arboreal,1
Barking treefrog,HGA3,Total Atrazine,LCMS,1,Soil,2.30064E-05,5.059544246,14.43612837,2.5,0.35047792,1.91549,2.2008,30,0.03,215.68,1.187,235899.0799,1.785733966,0.04,122,80,Arboreal,1
Barking treefrog,HGA4,Total Atrazine,LCMS,1,Soil,2.30064E-05,5.640191973,14.43612837,2.5,0.390699766,1.66783,1.9721,30,0.03,215.68,1.187,243989.3833,1.675816481,0.04,122,80,Arboreal,1
Barking treefrog,HGA5,Total Atrazine,LCMS,1,Soil,2.30064E-05,5.631964095,14.43612837,2.5,0.390129815,2.6954,3.1445,30,0.03,215.68,1.187,300531.3897,2.195558336,0.04,122,80,Arboreal,1
Barking treefrog,HGF1,Total Fipronil,LCMS,1,Soil,1.11643E-06,0.656150683,2.495701956,4,0.262912277,1.62588,1.958,3.78,0.00378,437.15,1.48,572584.2848,1.668868629,0.00037,825,125,Arboreal,1
Barking treefrog,HGF2,Total Fipronil,LCMS,1,Soil,1.11643E-06,0.966721159,2.495701956,4,0.38735441,1.22989,1.5969,3.78,0.00378,437.15,1.48,718086.2153,1.48306575,0.00037,825,125,Arboreal,1
Barking treefrog,HGF3,Total Fipronil,LCMS,1,Soil,1.11643E-06,0.464139949,2.495701956,4,0.185975712,2.00445,2.278,3.78,0.00378,437.15,1.48,457432.9765,1.821739221,0.00037,825,125,Arboreal,1
Barking treefrog,HGF4,Total Fipronil,LCMS,1,Soil,1.11643E-06,0.461519982,2.495701956,4,0.184925921,1.99483,2.2964,3.78,0.00378,437.15,1.48,450564.2929,1.83024458,0.00037,825,125,Arboreal,1
Barking treefrog,HGF5,Total Fipronil,LCMS,1,Soil,1.11643E-06,0.2997831,2.495701956,4,0.120119752,1.56533,1.85,3.78,0.00378,437.15,1.48,260272.0423,1.614934958,0.00037,825,125,Arboreal,1
Barking treefrog,HGT1,Total Triadimefon,LCMS,1,Soil,2.79107E-06,0.268608762,5.94731458,3.11,0.045164714,1.30797,1.6504,260,0.26,291.73,1.22,83272.32489,1.511634379,0.02,520,26,Arboreal,1
Barking treefrog,HGT2,Total Triadimefon,LCMS,1,Soil,2.79107E-06,0.216919024,5.94731458,3.11,0.03647344,1.082,1.2939,260,0.26,291.73,1.22,64047.36637,1.312964905,0.02,520,26,Arboreal,1
Barking treefrog,HGT3,Total Triadimefon,LCMS,1,Soil,2.79107E-06,0.143700399,5.94731458,3.11,0.024162233,2.56323,2.9539,260,0.26,291.73,1.22,62323.70695,2.117491944,0.02,520,26,Arboreal,1
Barking treefrog,HGT4,Total Triadimefon,LCMS,1,Soil,2.79107E-06,0.274522017,5.94731458,3.11,0.046158987,1.61382,1.7735,260,0.26,291.73,1.22,100722.3617,1.575926163,0.02,520,26,Arboreal,1
Barking treefrog,HGT5,Total Triadimefon,LCMS,1,Soil,2.79107E-06,0.173080623,5.94731458,3.11,0.029102315,2.84579,3.886,260,0.26,291.73,1.22,71104.33298,2.481902543,0.02,520,26,Arboreal,1
