Species,Sample,Chemical,Instrument,Application,good,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_Lit,Koc_Lab,HalfLife_day,HabFac,Hlaw,#frogs
Barking treefrog,HGOA1,Atrazine,LCMS,Overspray,1,2.30064E-05,10.08186253,15.04703892,2.5,0.670023024,2.02028,2.5056,30,0.03,215.68,1.187,459908.6227,1.92500784,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA2,Atrazine,LCMS,Overspray,1,2.30064E-05,6.133864568,15.04703892,2.5,0.407645956,1.69156,1.9493,30,0.03,215.68,1.187,270938.64,1.664571146,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA3,Atrazine,LCMS,Overspray,1,2.30064E-05,7.947823598,15.04703892,2.5,0.528198514,2.07221,2.4317,30,0.03,215.68,1.187,378380.905,1.891927509,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA4,Atrazine,LCMS,Overspray,1,2.30064E-05,15.16927588,15.04703892,2.5,1.008123655,2.36942,2.743,30,0.03,215.68,1.187,770128.634,2.028594985,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGOA5,Atrazine,LCMS,Overspray,1,2.30064E-05,12.02851098,15.04703892,2.5,0.79939389,1.96104,2.2946,30,0.03,215.68,1.187,560451.5679,1.829413804,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA1,Atrazine,LCMS,Soil,1,2.30064E-05,5.799757517,14.37980826,2.5,0.403326485,2.069224088,2.4975,30,0.03,215.68,1.187,271488.0969,1.921402218,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA2,Atrazine,LCMS,Soil,1,2.30064E-05,4.238755194,14.37980826,2.5,0.294771329,1.2818,1.5391,30,0.03,215.68,1.187,162674.7758,1.451744215,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA3,Atrazine,LCMS,Soil,1,2.30064E-05,3.459714466,14.37980826,2.5,0.240595313,1.91549,2.2008,30,0.03,215.68,1.187,161307.7028,1.785733966,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA4,Atrazine,LCMS,Soil,1,2.30064E-05,3.770774366,14.37980826,2.5,0.262227027,1.66783,1.9721,30,0.03,215.68,1.187,163120.1414,1.675816481,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA5,Atrazine,LCMS,Soil,1,2.30064E-05,3.671620398,14.37980826,2.5,0.255331666,2.6954,3.1445,30,0.03,215.68,1.187,195924.044,2.195558336,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA1,Atrazine,GCMS,Soil,0,2.30064E-05,2.156416125,48.38843615,2.5,0.0445647,2.069224088,2.4975,30,0.03,215.68,1.187,100942.377,1.921402218,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA2,Atrazine,GCMS,Soil,0,2.30064E-05,2.08593247,48.38843615,2.5,0.043108078,1.2818,1.5391,30,0.03,215.68,1.187,80053.83218,1.451744215,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA3,Atrazine,GCMS,Soil,0,2.30064E-05,1.217374573,48.38843615,2.5,0.025158378,1.91549,2.2008,30,0.03,215.68,1.187,56759.56721,1.785733966,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA4,Atrazine,GCMS,Soil,0,2.30064E-05,1.414222934,48.38843615,2.5,0.029226465,1.66783,1.9721,30,0.03,215.68,1.187,61177.94983,1.675816481,0.04,122,200,80,Arboreal,2.36E-09,1
Barking treefrog,HGA5,Atrazine,GCMS,Soil,0,2.30064E-05,1.385896712,48.38843615,2.5,0.028641073,2.6954,3.1445,30,0.03,215.68,1.187,73953.85658,2.195558336,0.04,122,200,80,Arboreal,2.36E-09,1
