Chemical,CAS,"Beef
Transfer
Coefficient
(day/kg)  ","Boiling
Point
(degree
Celsius) ","Soil-to-Dry
Plant Uptake  ","Soil-to-Wet
Plant Uptake ","Density
(g/cm3)  ","Diffusivity
in Air
(cm2/s)  ","Diffusivity
in Water
(cm2/s)  ","Fish
Bioconcentration
Factor (L/kg)  ","Unitless
Henry`s Law
Constant  ","Soil-Water
Partition
Coefficient
(cm3/g)  ","Organic Carbon
Partition
Coefficient
(L/kg)  ","Skin
Permeability
Constant
(cm/hr)  ","Log of
Octanol-Water
Partition
Coefficient ","Milk Transfer
Coefficient
(day/kg) ","Melting
Point
(degree
Celsius) ","Molecular
Weight
(g/mol)  ","RAGS Part E
Dermal
Absorption
Factor ","RAGS Part E
Gastrointestinal
Absorption
Factor ","Water
Solubility
(mg/L)  ","Vapor
Pressure
(mm Hg) "
"A-alpha-C [(2-Amino-9H-pyrido[2,3-b]indole)]",026148-68-5,NA,3.88E+02,NA,NA,NA,5.89E-02,6.88E-06,NA,1.64E-12,NA,1.47E+04,7.85E-03,2.60E+00,NA,2.02E+02,1.83E+02,1.00E-01,1.00E+00,3.34E+04,2.17E-07
AF-2 [(Z)-2-(2-Furyl)-3-(5-nitro-2-furyl)acrylamide],003688-53-7,NA,4.21E+02,NA,NA,NA,4.81E-02,5.62E-06,NA,1.90E-12,NA,3.58E+03,7.98E-05,1.50E-01,NA,1.76E+02,2.48E+02,1.00E-01,1.00E+00,7.60E+03,6.93E-08
ALAR,001596-84-5,7.91E-10,3.50E+02,2.85E+02,5.71E+01,NA,6.44E-02,7.53E-06,3.16E+00,1.73E-08,NA,1.00E+01,1.99E-05,-1.50E+00,2.50E-10,1.55E+02,1.60E+02,1.00E-01,1.00E+00,1.00E+05,2.00E-04
Acenaphthene,000083-32-9,2.08E-04,2.79E+02,2.05E-01,4.10E-02,1.22E+00,5.06E-02,8.33E-06,7.55E+02,7.52E-03,NA,5.03E+03,8.60E-02,3.92E+00,6.57E-05,9.34E+01,1.54E+02,1.30E-01,1.00E+00,3.90E+00,2.15E-03
Acenaphthylene,000208-96-8,2.18E-04,2.80E+02,2.00E-01,3.99E-02,8.99E-01,4.50E-02,6.98E-06,2.71E+02,4.66E-03,NA,5.03E+03,9.11E-02,3.94E+00,6.88E-05,9.25E+01,1.52E+02,1.30E-01,1.00E+00,1.61E+01,6.68E-03
Acephate,030560-19-1,3.53E-09,3.40E+02,1.20E+02,2.40E+01,1.35E+00,3.74E-02,7.98E-06,3.16E+00,2.05E-11,NA,1.00E+01,4.00E-05,-8.50E-01,1.12E-09,8.80E+01,1.83E+02,1.00E-01,1.00E+00,8.18E+05,1.70E-06
Acetaldehyde,000075-07-0,1.14E-08,2.01E+01,6.06E+01,1.21E+01,7.83E-01,1.28E-01,1.35E-05,3.16E+00,2.73E-03,NA,1.00E+00,5.27E-04,-3.40E-01,3.61E-09,-1.23E+02,4.41E+01,NA,1.00E+00,1.00E+06,9.02E+02
Acetamide,000060-35-5,1.37E-09,2.22E+02,2.07E+02,4.14E+01,9.99E-01,1.16E-01,1.31E-05,3.16E+00,4.58E-07,NA,2.99E+00,1.06E-04,-1.26E+00,4.34E-10,8.10E+01,5.91E+01,1.00E-01,1.00E+00,2.25E+06,4.00E-02
Acetochlor,034256-82-1,2.68E-05,4.00E-01,6.73E-01,1.35E-01,NA,4.55E-02,5.32E-06,4.64E+01,9.12E-07,NA,2.98E+02,4.95E-03,3.03E+00,8.47E-06,1.28E+02,2.70E+02,1.00E-01,1.00E+00,2.23E+02,2.80E-05
Acetone,000067-64-1,1.44E-08,5.55E+01,5.30E+01,1.06E+01,7.85E-01,1.06E-01,1.15E-05,3.16E+00,1.43E-03,NA,2.36E+00,5.12E-04,-2.40E-01,4.55E-09,-9.83E+01,5.81E+01,NA,1.00E+00,1.00E+06,2.32E+02
Acetone Cyanohydrin,000075-86-5,2.33E-08,1.71E+02,4.01E+01,8.01E+00,9.32E-01,8.59E-02,1.01E-05,3.16E+00,5.31E-04,NA,1.00E+00,4.95E-04,-3.00E-02,7.37E-09,-1.90E+01,8.51E+01,NA,1.00E+00,1.00E+06,3.41E-01
Acetonitrile,000075-05-8,1.14E-08,5.96E+01,6.06E+01,1.21E+01,7.86E-01,1.34E-01,1.41E-05,3.16E+00,1.41E-03,NA,4.67E+00,5.48E-04,-3.40E-01,3.61E-09,-4.50E+01,4.11E+01,NA,1.00E+00,1.00E+06,8.88E+01
Acetophenone,000098-86-2,9.50E-07,2.02E+02,4.67E+00,9.33E-01,1.03E+00,6.52E-02,8.72E-06,1.33E+00,4.25E-04,NA,5.19E+01,3.72E-03,1.58E+00,3.00E-07,2.00E+01,1.20E+02,NA,1.00E+00,6.13E+03,3.97E-01
"Acetylaminofluorene, 2-",000053-96-3,NA,3.03E+02,NA,NA,NA,5.16E-02,6.03E-06,5.33E+01,7.85E-09,NA,2.21E+03,1.25E-02,3.12E+00,NA,1.93E+02,2.23E+02,1.00E-01,1.00E+00,8.46E+00,2.87E-05
Acifluorofen,050594-66-6,NA,4.43E+02,NA,NA,NA,3.74E-02,4.37E-06,3.16E+00,2.47E-09,NA,3.88E+03,4.21E-03,3.70E+00,NA,1.50E+02,3.62E+02,1.00E-01,1.00E+00,1.20E+02,3.94E-08
Acridine,000260-94-6,6.28E-05,3.46E+02,4.11E-01,8.21E-02,1.01E+00,3.44E-02,6.77E-06,1.26E+02,1.62E-05,NA,1.64E+04,2.81E-02,3.40E+00,1.98E-05,1.08E+02,1.79E+02,1.00E-01,1.00E+00,3.84E+01,1.35E-04
Acrolein,000107-02-8,2.44E-08,5.26E+01,3.90E+01,7.80E+00,8.40E-01,1.12E-01,1.22E-05,3.16E+00,4.99E-03,NA,1.00E+00,7.48E-04,-1.00E-02,7.72E-09,-8.77E+01,5.61E+01,NA,1.00E+00,2.12E+05,2.74E+02
Acrylamide,000079-06-1,5.34E-09,1.93E+02,9.42E+01,1.88E+01,1.22E+00,1.10E-01,1.33E-05,3.16E+00,6.95E-08,NA,5.69E+00,2.24E-04,-6.70E-01,1.69E-09,8.45E+01,7.11E+01,1.00E-01,1.00E+00,3.90E+05,7.00E-03
Acrylic Acid,000079-10-7,5.60E-08,1.41E+02,2.41E+01,4.82E+00,1.05E+00,1.03E-01,1.20E-05,3.16E+00,1.51E-05,NA,1.44E+00,1.05E-03,3.50E-01,1.77E-08,1.35E+01,7.21E+01,1.00E-01,1.00E+00,1.00E+06,3.97E+00
Acrylonitrile,000107-13-1,4.45E-08,7.73E+01,2.76E+01,5.51E+00,8.01E-01,1.14E-01,1.23E-05,3.16E+00,5.64E-03,NA,8.51E+00,1.16E-03,2.50E-01,1.40E-08,-8.35E+01,5.31E+01,NA,1.00E+00,7.45E+04,1.09E+02
Actinomycin D,000050-76-0,NA,1.90E+03,NA,NA,NA,1.63E-02,1.91E-06,3.16E+00,NA,NA,1.00E+10,3.49E-11,-9.10E-01,NA,2.45E+02,1.26E+03,1.00E-01,1.00E+00,1.00E+06,0.00E+00
Adiponitrile,000111-69-3,1.20E-08,2.95E+02,5.90E+01,1.18E+01,9.68E-01,7.08E-02,8.96E-06,3.16E+00,4.95E-08,NA,2.02E+01,2.37E-04,-3.20E-01,3.78E-09,1.00E+00,1.08E+02,1.00E-01,1.00E+00,8.00E+04,6.79E-04
Alachlor,015972-60-8,8.28E-05,1.00E+02,3.50E-01,7.00E-02,1.13E+00,2.26E-02,5.69E-06,1.32E+01,3.40E-07,NA,3.12E+02,1.05E-02,3.52E+00,2.62E-05,4.00E+01,2.70E+02,1.00E-01,1.00E+00,2.40E+02,2.05E-05
Aldicarb,000116-06-3,3.37E-07,2.51E+02,8.51E+00,1.70E+00,1.20E+00,3.19E-02,7.25E-06,2.59E+00,5.89E-08,NA,2.46E+01,7.55E-04,1.13E+00,1.07E-07,9.90E+01,1.90E+02,1.00E-01,1.00E+00,6.03E+03,3.47E-05
Aldicarb Sulfone,001646-88-4,6.73E-09,3.17E+02,8.24E+01,1.65E+01,NA,5.18E-02,6.05E-06,3.16E+00,1.38E-07,NA,1.00E+01,3.71E-05,-5.70E-01,2.13E-09,1.40E+02,2.22E+02,1.00E-01,1.00E+00,1.00E+04,9.00E-05
Aldicarb sulfoxide,001646-87-3,4.15E-09,3.07E+02,1.09E+02,2.18E+01,NA,5.44E-02,6.36E-06,3.16E+00,3.96E-08,NA,1.00E+01,3.29E-05,-7.80E-01,1.31E-09,7.79E+01,2.06E+02,1.00E-01,1.00E+00,2.80E+04,1.00E-04
Aldrin,000309-00-2,7.91E-02,3.30E+02,6.54E-03,1.31E-03,NA,3.72E-02,4.35E-06,5.50E+03,1.80E-03,NA,8.20E+04,2.93E-01,6.50E+00,2.50E-02,2.40E+02,3.65E+02,1.00E-01,1.00E+00,1.70E-02,1.20E-04
Aliphatic Chlorinated Hydrocarbons (each),000000-05-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00E-01,1.00E+00,NA,NA
